code,name
campaign,Outreach Campaign
community,Community Center
email,Email
field,Field Visit
field_visit,Field Visit
mobile,Mobile Registration
mobile_app,Mobile App
office,Extension Office
online,Online Self-Registration
phone,Phone Submission
portal,Online Portal
sms,SMS
