code,name
family_support,Support from family or non-family
farming,Farming (crops/livestock/fish/bees)
formal_employment,Formal Employment
income_rentals,Income from Rentals
informal_employment,Informal Employment
non_farm_business,Non-farm Business
other,Other
pension,Pension
remittances,Remittances from abroad
transfers_assistance,Transfer and social assistance program
