code,name
berea,Berea
butha-buthe,Butha-Buthe
leribe,Leribe
mafeteng,Mafeteng
maseru,Maseru
mohales-hoek,Mohale's Hoek
mokhotlong,Mokhotlong
qachas-nek,Qacha's Nek
quthing,Quthing
thaba-tseka,Thaba-Tseka
