code,name
bees,Bees
cattle-beef,Cattle (Beef)
cattle-dairy,Cattle (Dairy)
chicken-broiler,Chicken (Broiler)
chicken-layers,Chicken (Layers)
chicken-village,Chicken (Village)
dogs,Dogs
donkeys,Donkeys
ducks,Ducks
game,Game
goats,Goats
guinea_fowl,Guinea Fowl
horses,Horses
other,Other
other_poultry,Other Poultry
pigs,Pigs
rabbits,Rabbits
sheep,Sheep
