code,name
butternut,Butternut
cabbage,Cabbage
carrots,Carrots
cowpeas,Cowpeas
groundnuts,Groundnuts
maize,Maize
millet,Millet
mixed_beans,Mixed Beans
onion,Onion
other,Other
pigeon_peas,Pigeon Peas
potatoes,Potatoes
pumpkin,Pumpkin
rape,Rape
rice,Rice
sorghum,Sorghum
soybeans,Soybeans
spinach,Spinach
sweet_potatoes,Sweet Potatoes
tomato,Tomato
wheat,Wheat
